respiratory_season,tester,site_type,name_of_sampling_location,7_day_average_of_sars-cov-2_concentration,number_of_samples_in_the_last_7_days,sars-cov-2_detected,sample_collection_date,units_(measuring_concentration),city_of_sampling_location,state_of_sampling_location,county_of_sampling_location,date_data_last_updated,date,source
2024-2025,BioBot,Municipal,Fitchburg Public Works,461912.5655599168,4,Detected,2024-10-31T00:00:00Z,copies/L,Fitchburg,MA,Worcester,2025-02-20T00:00:00Z,2024-10-31,current
2024-2025,BioBot,Municipal,Whitman,2901926.422827501,3,Detected,2024-12-05T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-02-20T00:00:00Z,2024-12-05,current
2024-2025,BioBot,Municipal,Whitman,300122.715175774,4,Detected,2024-11-21T00:00:00Z,copies/L,Brockton,MA,Plymouth,2025-02-20T00:00:00Z,2024-11-21,current
2024-2025,BioBot,Municipal,Wareham WPCF,1126852.729154264,4,Detected,2024-07-23T00:00:00Z,copies/L,Wareham,MA,Plymouth,2025-02-20T00:00:00Z,2024-07-23,current
2024-2025,BioBot,Municipal,Lynn WWTF,1187184.4539642439,3,Detected,2024-08-14T00:00:00Z,copies/L,Lynn,MA,Essex,2025-02-20T00:00:00Z,2024-08-14,current
2024-2025,BioBot,Municipal,MWRA Northern,547090.4933524829,7,Detected,2025-01-24T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2025-01-24,current
2024-2025,BioBot,Municipal,Montague Clean Water Facility,250277.39915689934,3,Detected,2024-10-31T00:00:00Z,copies/L,Montague,MA,Franklin,2025-02-20T00:00:00Z,2024-10-31,current
2024-2025,BioBot,Municipal,Pittsfield WWTP,301807.9022752354,4,Detected,2024-11-01T00:00:00Z,copies/L,Pittsfield,MA,Berkshire,2025-02-20T00:00:00Z,2024-11-01,current
2024-2025,BioBot,Municipal,MWRA Southern,603964.4233995974,7,Detected,2024-12-12T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2025-02-20T00:00:00Z,2024-12-12,current
2024-2025,BioBot,Municipal,Montague Clean Water Facility,1513820.496443063,3,Detected,2025-02-06T00:00:00Z,copies/L,Montague,MA,Franklin,2025-02-20T00:00:00Z,2025-02-06,current
