tester,site_type,name_of_sampling_location,7_day_average_of_sars-cov-2_concentration,number_of_samples_in_the_last_7_days,sars-cov-2_detected,sample_collection_date,units_(measuring_concentration),city_of_sampling_location,state_of_sampling_location,county_of_sampling_location,date_data_last_updated,date,source
BioBot,Municipal,Greater Lawrence Sanitary District,859515.82785,4,Detected,2022-06-28T00:00:00Z,copies/L,North Andover,MA,Essex,2024-07-24T00:00:00Z,2022-06-28,arch
BioBot,Municipal,Fall River WWTP,129460.84467144811,5,Detected,2024-04-18T00:00:00Z,copies/L,Fall River,MA,Bristol,2024-07-24T00:00:00Z,2024-04-18,arch
BioBot,Municipal,Wareham WPCF,793896.0327000001,4,Detected,2023-03-02T00:00:00Z,copies/L,Wareham,MA,Plymouth,2024-07-24T00:00:00Z,2023-03-02,arch
BioBot,Municipal,MWRA Northern,261453.81577142855,7,Detected,2021-04-09T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2021-04-09,arch
BioBot,Municipal,SESD-Peabody/Salem Pump,366500.7590307278,4,Detected,2024-04-20T00:00:00Z,copies/L,Salem,MA,Essex,2024-07-24T00:00:00Z,2024-04-20,arch
BioBot,Municipal,MWRA Northern,242911.86073333336,3,Detected,2020-05-01T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2020-05-01,arch
BioBot,Municipal,Hull WWTF,1123624.3682000001,3,Detected,2021-12-03T00:00:00Z,copies/L,Hull,MA,Plymouth,2024-07-24T00:00:00Z,2021-12-03,arch
BioBot,Municipal,Lowell Regional WWTF,259631.22905,2,Detected,2023-05-10T00:00:00Z,copies/L,Lowell,MA,Middlesex,2024-07-24T00:00:00Z,2023-05-10,arch
BioBot,Municipal,MWRA Northern,99162.82062714284,7,Detected,2020-06-13T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2020-06-13,arch
BioBot,Municipal,SESD-Peabody/Salem Pump,1124791.128425,4,Detected,2022-07-06T00:00:00Z,copies/L,Salem,MA,Essex,2024-07-24T00:00:00Z,2022-07-06,arch
BioBot,Municipal,Fitchburg Public Works,917157.7484728517,4,Detected,2023-11-22T00:00:00Z,copies/L,Fitchburg,MA,Worcester,2024-07-24T00:00:00Z,2023-11-22,arch
BioBot,Municipal,MWRA Northern,577354.1869571429,7,Detected,2022-06-09T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2022-06-09,arch
BioBot,Municipal,Greater Lawrence Sanitary District,6555010.730333333,3,Detected,2022-01-11T00:00:00Z,copies/L,North Andover,MA,Essex,2024-07-24T00:00:00Z,2022-01-11,arch
BioBot,Municipal,MWRA Northern,208307.02457142854,7,Detected,2021-07-28T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2021-07-28,arch
BioBot,Municipal,MWRA Northern,538938.7475743861,3,Detected,2023-08-10T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2023-08-10,arch
BioBot,Municipal,MWRA Northern,342391.08395714284,7,Detected,2020-11-18T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2020-11-18,arch
BioBot,Municipal,MWRA Southern,125885.02973333334,3,Detected,2023-06-29T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2023-06-29,arch
BioBot,Municipal,Provincetown Treatment Plant,217698.5625042857,7,Detected,2021-08-27T00:00:00Z,copies/L,Provincetown,MA,Barnstable,2024-07-24T00:00:00Z,2021-08-27,arch
BioBot,Municipal,Fitchburg Public Works,694705.1856181899,4,Detected,2023-11-09T00:00:00Z,copies/L,Fitchburg,MA,Worcester,2024-07-24T00:00:00Z,2023-11-09,arch
BioBot,Municipal,Uxbridge WWTF,2566499.380333333,3,Detected,2023-01-25T00:00:00Z,copies/L,Uxbridge,MA,Worcester,2024-07-24T00:00:00Z,2023-01-25,arch
BioBot,Municipal,MWRA Southern,269712.8379285714,7,Detected,2021-10-20T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2021-10-20,arch
BioBot,Municipal,Provincetown Treatment Plant,30098.12471666667,6,Detected,2021-10-28T00:00:00Z,copies/L,Provincetown,MA,Barnstable,2024-07-24T00:00:00Z,2021-10-28,arch
BioBot,Municipal,Pittsfield WWTP,794264.28205,4,Detected,2023-03-23T00:00:00Z,copies/L,Pittsfield,MA,Berkshire,2024-07-24T00:00:00Z,2023-03-23,arch
BioBot,Municipal,MWRA Southern,873568.9260714286,7,Detected,2020-12-11T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2020-12-11,arch
BioBot,Municipal,SESD-Peabody/Salem Pump,1279619.857,4,Detected,2022-10-04T00:00:00Z,copies/L,Salem,MA,Essex,2024-07-24T00:00:00Z,2022-10-04,arch
BioBot,Municipal,SESD-Peabody Metering Station,651603.8402,4,Detected,2023-03-15T00:00:00Z,copies/L,Salem,MA,Essex,2024-07-24T00:00:00Z,2023-03-15,arch
BioBot,Municipal,SESD-Peabody/Salem Pump,792346.204925,4,Detected,2022-10-28T00:00:00Z,copies/L,Salem,MA,Essex,2024-07-24T00:00:00Z,2022-10-28,arch
BioBot,Municipal,Amherst WWTP,296234.5302051385,2,Detected,2023-08-24T00:00:00Z,copies/L,Hadley,MA,Hampshire,2024-07-24T00:00:00Z,2023-08-24,arch
BioBot,Municipal,MWRA Northern,269600.1500857143,7,Detected,2021-10-15T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2021-10-15,arch
BioBot,Municipal,MWRA Southern,404891.02808571426,7,Detected,2021-09-05T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2021-09-05,arch
BioBot,Municipal,South Hadley Div. of WPC,315441.99324406416,4,Detected,2024-06-14T00:00:00Z,copies/L,Chicopee,MA,Hampden,2024-07-24T00:00:00Z,2024-06-14,arch
BioBot,Municipal,Springfield WWTP,545122.2254529807,2,Detected,2024-05-16T00:00:00Z,copies/L,Agawam,MA,Hampden,2024-07-24T00:00:00Z,2024-05-16,arch
BioBot,Municipal,MWRA Northern,57646.81328428572,7,Detected,2021-07-12T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2021-07-12,arch
BioBot,Municipal,Whitman,630691.5143038036,4,Detected,2023-08-09T00:00:00Z,copies/L,Brockton,MA,Plymouth,2024-07-24T00:00:00Z,2023-08-09,arch
BioBot,Municipal,Brockton/ Abington,1625471.734075,4,Detected,2022-08-30T00:00:00Z,copies/L,Brockton,MA,Plymouth,2024-07-24T00:00:00Z,2022-08-30,arch
BioBot,Municipal,SESD-Peabody Metering Station,1688443.5425500001,4,Detected,2022-10-16T00:00:00Z,copies/L,Salem,MA,Essex,2024-07-24T00:00:00Z,2022-10-16,arch
BioBot,Municipal,Fall River WWTP,575647.04248,5,Detected,2023-03-02T00:00:00Z,copies/L,Fall River,MA,Bristol,2024-07-24T00:00:00Z,2023-03-02,arch
BioBot,Municipal,SESD-Peabody Metering Station,1862178.212775,4,Detected,2023-01-22T00:00:00Z,copies/L,Salem,MA,Essex,2024-07-24T00:00:00Z,2023-01-22,arch
BioBot,Municipal,MWRA Southern,621627.8833428572,7,Detected,2021-11-27T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2021-11-27,arch
BioBot,Municipal,Uxbridge WWTF,794690.5348,3,Detected,2022-06-29T00:00:00Z,copies/L,Uxbridge,MA,Worcester,2024-07-24T00:00:00Z,2022-06-29,arch
BioBot,Municipal,MWRA Southern,28210.75668333333,6,Detected,2021-06-06T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2021-06-06,arch
BioBot,Municipal,Upper Blackstone Clean Water,883003.5559217493,4,Detected,2023-08-23T00:00:00Z,copies/L,Worcester,MA,Worcester,2024-07-24T00:00:00Z,2023-08-23,arch
BioBot,Municipal,Athol WWTP,361437.668575,4,Detected,2023-03-30T00:00:00Z,copies/L,Athol,MA,Worcester,2024-07-24T00:00:00Z,2023-03-30,arch
BioBot,Municipal,South Hadley Div. of WPC,700577.0599250001,4,Detected,2023-02-10T00:00:00Z,copies/L,Chicopee,MA,Hampden,2024-07-24T00:00:00Z,2023-02-10,arch
BioBot,Municipal,MWRA Northern,97108.631275,6,Detected,2020-06-18T00:00:00Z,copies/L,Winthrop,MA,Suffolk,2024-07-24T00:00:00Z,2020-06-18,arch
BioBot,Municipal,Uxbridge WWTF,4214117.482777921,3,Detected,2024-02-14T00:00:00Z,copies/L,Uxbridge,MA,Worcester,2024-07-24T00:00:00Z,2024-02-14,arch
