respiratory_season,tester,sars-cov-2_detected,sample_collection_date,site_type,name_of_sampling_location,7_day_average_of_sars-cov-2_concentration,number_of_samples_in_the_last_7_days,units_(measuring_concentration),city_of_sampling_location,state_of_sampling_location,county_of_sampling_location,date_data_last_updated,date,source
2025-2026,BioBot,Not Detected,2025-07-09T00:00:00Z,Municipal,Montague Clean Water Facility,0,3,copies/L,Montague,MA,Franklin,2025-11-13T00:00:00Z,2025-07-09,current
2025-2026,BioBot,Detected,2025-10-05T00:00:00Z,Municipal,MWRA Southern,234794.7957142857,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-10-05,current
2025-2026,BioBot,Detected,2025-08-26T00:00:00Z,Municipal,MWRA Northern,302672.25,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-08-26,current
2025-2026,BioBot,Detected,2025-07-08T00:00:00Z,Municipal,SESD-Peabody Metering Station,243602.36250000002,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-07-08,current
2025-2026,BioBot,Detected,2025-09-17T00:00:00Z,Municipal,Fitchburg Public Works,947909.3224999999,4,copies/L,Fitchburg,MA,Worcester,2025-11-13T00:00:00Z,2025-09-17,current
2025-2026,BioBot,Detected,2025-08-27T00:00:00Z,Municipal,MWRA Northern,310923.34428571427,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-08-27,current
2025-2026,BioBot,Detected,2025-08-26T00:00:00Z,Municipal,Brockton/ Abington,778192.7766666667,3,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-08-26,current
2025-2026,BioBot,Detected,2025-07-25T00:00:00Z,Municipal,MWRA Northern,132038.38142857142,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-07-25,current
2025-2026,BioBot,Detected,2025-10-22T00:00:00Z,Municipal,Fall River WWTP,23545.67,2,copies/L,Fall River,MA,Bristol,2025-11-13T00:00:00Z,2025-10-22,current
2025-2026,BioBot,Detected,2025-07-17T00:00:00Z,Municipal,MWRA Southern,144106.61285714284,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-07-17,current
2025-2026,BioBot,Detected,2025-08-17T00:00:00Z,Municipal,SESD-Peabody Metering Station,259857.26750000002,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-08-17,current
2025-2026,BioBot,Detected,2025-09-14T00:00:00Z,Municipal,MWRA Northern,365472.71285714285,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-09-14,current
2025-2026,BioBot,Detected,2025-08-07T00:00:00Z,Municipal,SESD-Peabody Metering Station,364828.75,3,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-08-07,current
2025-2026,BioBot,Detected,2025-11-04T00:00:00Z,Municipal,Brockton/ Abington,127640.535,4,copies/L,Brockton,MA,Plymouth,2025-11-13T00:00:00Z,2025-11-04,current
2025-2026,BioBot,Detected,2025-07-03T00:00:00Z,Municipal,Springfield WWTP,158648.86,2,copies/L,Agawam,MA,Hampden,2025-11-13T00:00:00Z,2025-07-03,current
2025-2026,BioBot,Detected,2025-10-11T00:00:00Z,Municipal,MWRA Southern,240686.66999999998,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-10-11,current
2025-2026,BioBot,Detected,2025-07-06T00:00:00Z,Municipal,SESD-Peabody Metering Station,303532.50333333336,3,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-07-06,current
2025-2026,BioBot,Detected,2025-07-30T00:00:00Z,Municipal,MWRA Northern,136344.14285714287,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-07-30,current
2025-2026,BioBot,Detected,2025-10-07T00:00:00Z,Municipal,Upper Blackstone Clean Water,384691.6625,4,copies/L,Worcester,MA,Worcester,2025-11-13T00:00:00Z,2025-10-07,current
2025-2026,BioBot,Detected,2025-08-11T00:00:00Z,Municipal,SESD-Peabody Metering Station,449252.075,4,copies/L,Salem,MA,Essex,2025-11-13T00:00:00Z,2025-08-11,current
2025-2026,BioBot,Detected,2025-10-22T00:00:00Z,Municipal,Wareham WPCF,238760.6275,4,copies/L,Wareham,MA,Plymouth,2025-11-13T00:00:00Z,2025-10-22,current
2025-2026,BioBot,Detected,2025-08-10T00:00:00Z,Municipal,MWRA Southern,222806.13142857145,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-08-10,current
2025-2026,BioBot,Detected,2025-08-30T00:00:00Z,Municipal,MWRA Southern,337475.8685714286,7,copies/L,Winthrop,MA,Suffolk,2025-11-13T00:00:00Z,2025-08-30,current
